NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
92,SOFT ELITE,41,11,CLUB,DH08X028-1-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,6.03,3.94,12.1,,9.6,,,54.4,,,59.3,36,17.8,26,7,2.3,0.3,11.4,0.36,68.2,85,45.4,9.16,1290
94,CARA/XERPHA DOUBLE H,1,11,CLUB,DH08X028-1-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,6.03,3.94,12.1,,9,63.8,95.3,52.5,89.3,1.275,61,30.8,16.9,30.7,7,2.5,0.3,11.2,0.33,71.7,91.4,47.2,9.31,
92,SOFT ELITE,3,12,SWW,DH08X028-106-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.64,4.06,12.8,,6.7,,,52.1,,,61.1,33.3,14.7,32.4,7.5,2.6,0.3,9.2,0.31,70.2,90.8,46.8,9.44,1240
94,CARA/XERPHA DOUBLE H,42,12,SWW,DH08X028-106-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.64,4.06,12.8,,6.1,60.3,71.2,49.9,84.5,1.526,61,31.4,17.7,30.9,7.5,2.6,0.3,9.4,0.38,73.2,90.1,48.4,9.36,
92,SOFT ELITE,25,14,CLUB,DH08X028-115-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.56,3.56,13.6,,6.7,,,51.6,,,59.4,37.1,19.3,26.4,7.2,2.4,0.3,11,0.35,71.8,90.3,47.7,9.56,1215
94,CARA/XERPHA DOUBLE H,45,14,CLUB,DH08X028-115-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.56,3.56,13.6,,7,59.9,74.5,50.2,82.5,1.434,59.1,34.1,17.3,28,7.2,2.4,0.3,11,0.36,73.2,91.4,49,9.5,
104,SOFT ELITE,17,39,CLUB,DH08X028-115-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.72,2.7,12.9,1.4,7.3,63.6,77,52.9,82.4,1.08,60.6,26.75,16,33.3,10.4,2.54,0.39,8.1,0.33,70.7,90.1,46.5,9.7,
92,SOFT ELITE,16,15,CLUB,DH08X028-129-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.03,4.26,12.9,,6.7,,,51.9,,,59.4,37.6,19.1,26.8,7.2,2.4,0.3,10.8,0.3,71.1,92.5,47.5,9.56,1190
94,CARA/XERPHA DOUBLE H,120,15,CLUB,DH08X028-129-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.03,4.26,12.9,,10.2,71.4,73.1,50.8,80,1.25,59.2,44.1,18.7,26.8,7.8,2.4,0.3,11.9,0.37,72.1,89.4,47.7,9.35,
104,SOFT ELITE,9,31,CLUB,DH08X028-129-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.23,3.18,11.7,1.2,7,65.2,73.2,53.1,80.9,1.01,60,24.37,13.9,33.8,9.32,2.6,0.34,7.7,0.39,71.3,87.1,46.8,9.66,
92,SOFT ELITE,36,16,SWW,DH08X028-135-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.31,3.61,13.6,,6.7,,,54.4,,,61,42.8,15.7,32.2,8.8,2.6,0.3,9.1,0.38,68.3,83.9,43.1,9.43,1265
94,CARA/XERPHA DOUBLE H,121,16,SWW,DH08X028-135-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.31,3.61,13.6,,7.9,63.3,87.6,54.8,87.8,1.301,60.6,52.2,17,33.7,7.5,2.6,0.3,9.2,0.29,70.7,92.7,44.5,9.2,
92,SOFT ELITE,35,17,SWW,DH08X028-140-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.86,3.39,14,,7.6,,,54.2,,,61.1,42.9,15.5,31.7,6.6,2.6,0.3,9,0.36,69.4,86.6,43.9,9.4,1200
94,CARA/XERPHA DOUBLE H,52,17,SWW,DH08X028-140-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.86,3.39,14,,6.7,64.6,82.9,52.2,89.3,1.375,61.2,41.4,15.7,33.5,7.6,2.6,0.3,9.2,0.27,72.4,96.1,45.5,9.34,
106,SOFT ELITE,1,9,CLUB,DH08X028-143-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.6,3.24,12.1,1.5,7.3,59.3,84.8,56.6,82.4,1.066,61.2,30.75,15.8,32.2,8.21,2.51,0.35,9.6,0.28,68.9,91,46.5,9.6,
95,SOFT ELITE,5,5,CLUB,DH08X028-143-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.26,4.78,10.4,1.1,5,75.6,89.8,46.9,95.9,1.188,62.2,40.14,15.5,33.2,8.51,2.6,0.34,8.3,0.38,72.8,89.6,52.2,9.46,1275
111,SOFT ELITE,51,51,CLUB,DH08X028-150-0,CARA/XERPHA,PENDLETON,ADV,2019,2018,4.03,6.68,11.1,-9,3.2,,,53.7,,1.919,61.4,29.05,16.1,38.5,7.87,2.61,0.31,6.5,0.31,69.4,89.7,51.2,9.32,1280
106,SOFT ELITE,2,10,CLUB,DH08X028-155-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.4,2.58,13.7,1.6,7,65.3,83.7,59.6,89.8,0.921,63.2,39.63,16,33.3,8.58,2.6,0.35,9.2,0.29,66.9,87.8,42.7,9.65,
106,SOFT ELITE,3,11,CLUB,DH08X028-156-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.25,2.54,12.6,1.6,8.1,62.1,84.3,56.5,86.7,0.867,61.4,30.2,17.6,33.1,10,2.53,0.36,10,0.32,69.6,89.4,46.5,9.56,
106,SOFT ELITE,4,12,CLUB,DH08X028-159-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.07,2.95,12.5,1.6,8.4,62,83.5,56.4,82.7,0.91,61,32.26,15.2,32.2,7.9,2.55,0.33,9.4,0.27,68.4,91,45.9,9.61,
92,SOFT ELITE,27,18,SWW,DH08X028-166-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.79,3.14,13.5,,7.9,,,52.1,,,60.1,47.2,15.1,31.6,8.3,2.6,0.3,9.6,0.31,68.7,88.9,42.7,9.18,1260
94,CARA/XERPHA DOUBLE H,66,18,SWW,DH08X028-166-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.79,3.14,13.5,,7,59.5,71.8,49.2,83.3,1.462,58.6,34,21,28,9.8,2.4,0.4,10.4,0.37,71.1,88.1,47.3,9.55,
106,SOFT ELITE,5,13,CLUB,DH08X028-170-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.61,3.45,12.5,1.6,9,62.1,84.9,56.1,84.2,0.968,61.9,31.15,16.1,34.9,10.1,2.58,0.38,9.2,0.3,69.7,90.8,46.1,9.69,
95,SOFT ELITE,6,6,CLUB,DH08X028-170-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.75,3.22,12.8,1.2,5.5,75.1,90.9,47.7,98.9,1.28,62.5,43.42,15.1,32.2,7.64,2.6,0.33,8.7,0.35,72.5,91.1,52.1,9.52,1225
106,SOFT ELITE,6,14,CLUB,DH08X028-171-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.61,2.94,12.9,1.6,7.6,62.9,78,57.3,86.5,0.81,60.2,22.76,12.6,37.5,8.45,2.73,0.3,8.9,0.37,70,86.7,46.1,9.25,
95,SOFT ELITE,7,7,CLUB,DH08X028-171-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.77,3.52,11.3,1.1,5.3,76.2,91.6,46.7,98.8,1.469,62.1,47.09,16.1,31.1,8.14,2.51,0.34,9,0.35,72.5,91.1,51.2,9.74,1185
92,SOFT ELITE,9,19,SWW,DH08X028-193-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.42,3.76,13,,7.9,,,54.7,,,59.2,38.9,15.1,30.7,7.5,2.5,0.3,7.2,0.32,68.6,88.1,44.5,9.31,1235
94,CARA/XERPHA DOUBLE H,71,19,SWW,DH08X028-193-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.42,3.76,13,,8.7,65.1,87.3,52.4,92.2,1.587,59.2,37.2,18,31.2,8.1,2.6,0.3,10,0.42,70.7,84.4,45.7,9.3,
106,SOFT ELITE,7,15,CLUB,DH08X028-194-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.05,3.42,12.6,1.3,10.2,65.3,96.3,58.4,92.5,0.882,62.5,34.89,14.1,37.2,9.93,2.71,0.33,9.9,0.28,66.7,88.2,42.5,9.27,
106,SOFT ELITE,8,16,CLUB,DH08X028-198-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.95,2.42,12.9,1.7,7.9,61.6,80.9,57.2,86.7,1.059,61.2,33.57,17.2,32.5,9.24,2.53,0.34,9.1,0.28,71.8,94.7,47.2,9.63,
95,SOFT ELITE,8,8,CLUB,DH08X028-198-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.65,3.39,10.5,1,4.4,75.4,90.2,46.8,98.1,1.293,62.3,46.53,16.2,32.6,7.96,2.57,0.32,8.6,0.34,71.5,90.5,51.4,9.59,1240
92,SOFT ELITE,10,20,CLUB,DH08X028-200-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.78,3.04,13.3,,4.7,,,53.8,,,61,49.1,17.3,27.8,7.6,2.4,0.3,11.1,0.32,68.5,88,41.3,9.04,1230
94,CARA/XERPHA DOUBLE H,73,20,CLUB,DH08X028-200-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.78,3.04,13.3,,5.3,65.3,61.6,52.1,85.1,1.352,61,48.7,17.3,27.8,7.2,2.4,0.3,12.2,0.32,70.5,90.5,42.6,9.14,
92,SOFT ELITE,39,21,SWW,DH08X028-207-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.94,3.54,12.8,,8.1,,,55.8,,,58.2,34.7,15.6,34.9,8.3,2.6,0.3,9.1,0.35,68,85.4,43.2,9.27,1250
